rank,title,artist
1,Flowers,Miley Cyrus
2,Kill Bill,SZA
3,Anti-Hero,Taylor Swift
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
5,Unholy,Sam Smith & Kim Petras
6,I'm Good (Blue),David Guetta & Bebe Rexha
7,Die For You,The Weeknd & Ariana Grande
8,Rich Flex,Drake & 21 Savage
9,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
10,As It Was,Harry Styles
11,Golden Hour,JVKE
12,Bad Habit,Steve Lacy
13,Something In The Orange,Zach Bryan
14,Under The Influence,Chris Brown
15,Made You Look,Meghan Trainor
16,Just Wanna Rock,Lil Uzi Vert
17,Cuff It,Beyonce
18,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
19,Thank God,Kane Brown With Katelyn Brown
20,You Proof,Morgan Wallen
21,Rock And A Hard Place,Bailey Zimmerman
22,Escapism,RAYE Featuring 070 Shake
23,Shirt,SZA
24,I Like You (A Happier Song),Post Malone Featuring Doja Cat
25,Bebe Dame,Fuerza Regida X Grupo Frontera
26,"Going, Going, Gone",Luke Combs
27,Wait For U,Future Featuring Drake & Tems
28,Until I Found You,Stephen Sanchez
29,Super Freaky Girl,Nicki Minaj
30,Tomorrow 2,GloRilla & Cardi B
31,Thought You Should Know,Morgan Wallen
32,Snooze,SZA
33,Heart Like A Truck,Lainey Wilson
34,Lavender Haze,Taylor Swift
35,Calm Down,Rema & Selena Gomez
36,Nobody Gets Me,SZA
37,Wait In The Truck,HARDY Featuring Lainey Wilson
38,The Kind Of Love We Make,Luke Combs
39,Lift Me Up,Rihanna
40,What My World Spins Around,Jordan Davis
41,Sunroof,Nicky Youre & dazy
42,Sure Thing,Miguel
43,Unstoppable,Sia
44,She Had Me At Heads Carolina,Cole Swindell
45,I Ain't Worried,OneRepublic
46,Low,SZA
47,Victoria's Secret,Jax
48,Vegas,Doja Cat
49,About Damn Time,Lizzo
50,Que Vuelvas,Carin Leon X Grupo Frontera
51,Whiskey On You,Nate Smith
52,Blind,SZA
53,Tennessee Orange,Megan Moroney
54,Players,Coi Leray
55,Pick Me Up,Gabby Barrett
56,On Wat U On,Moneybagg Yo x GloRilla
57,Bloody Mary,Lady Gaga
58,Handle On You,Parker McCollum
59,Romantic Homicide,d4vd
60,What He Didn't Do,Carly Pearce
61,Love Language,SZA
62,No Se Va,Grupo Frontera
63,Forget Me,Lewis Capaldi
64,Spin Bout U,Drake & 21 Savage
65,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
66,Here With Me,d4vd
67,Snap,Rosa Linn
68,Shut Up My Moms Calling,Hotel Ugly
69,Freestyle,Lil Baby
70,Wild As Her,Corey Kent
71,The Color Violet,Tory Lanez
72,La Bachata,Manuel Turizo
73,Half Of Me,Thomas Rhett Featuring Riley Green
74,Circo Loco,Drake & 21 Savage
75,Nonsense,Sabrina Carpenter
76,Vibe,TAEYANG Featuring Jimin
77,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
78,La Jumpa,Arcangel & Bad Bunny
79,Love You Better,Future
80,Gato de Noche,Nengo Flow & Bad Bunny
81,Seek & Destroy,SZA
82,One Thing At A Time,Morgan Wallen
83,Monotonia,Shakira + Ozuna
84,Ghost In The Machine,SZA Featuring Phoebe Bridgers
85,Ditto,NewJeans
86,Down Home,Jimmie Allen
87,Heyy,Lil Baby
88,Out In The Middle,Zac Brown Band
89,Open Arms,SZA Featuring Travis Scott
90,Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
91,OMG,NewJeans
92,That's What Tequila Does,Jason Aldean
93,Used,SZA Featuring Don Toliver
94,Human,Cody Johnson
95,Special,SZA
96,Miss You,Oliver Tree & Robin Schulz
97,California Breeze,Lil Baby
98,Heart To Heart,Mac DeMarco
99,You Didn't,Brett Young
100,King Snipe,Gucci Mane & Kodak Black
